대표,이석채,기업,클라우드,서비스,혁신,발생,원가,절감,성과,요금,인하,이용자,환원,중소,개발,사,지원,강화,일,유,클라우드,서비스,요금,월,일,신규,기존,가입자,대상,적용,유,클라우드,기업,서비스,최대,할인,가격,적용,기존,무료,혜택,강화,예,기존,소형,서버,대,정도,데이터,사용,때,요금,월,만,원,정도,요금,인하,이후,월,만,원,정도,가격,인하,중소,개발,사,부담,강조,김,철승,클라우드,전략,담당,상무,기술,도입,확보,가격,탄력,유,클라우드,고객,요금,인하,결정,말,박지성,기자
텔레콤,대표,성민,개인,스마트,기기,기업,업무,활용,수,솔루션,페르소나,출시,시장,공략,일,개인,스마트,기기,활용,회사,업무,수행,때문,기업,보안,유지,취약,단점,모바일,단말,관리,솔루션,활용,등,보안,강화,경우,개인,프라이버시,침해,수,우려,과제,지적,페르소나,솔루션,기업,업무,시,보안,위험,요소,차단,한편,개인,업무,외,사생활,침해,수준,최소,수,구성,활성,대안,제시,강조,박지성,기자
미래,창조,과학부,향후,대한민국,미래,먹거리,정보,통신,기술,대,연구,개발,과제,대,미래,서비스,발굴,차세대,콘텐츠,기술,부각,홀로그램,세대,이동,통신,등,미래,기술,신사업,발굴,작업,속도,전망,미래,부,일,서울,양재동,엘타워,공청회,대,핵심,기술,확보,대,미래,서비스,실현,등,골자,중,장기,년,추진,전략,소개,이,중,장기,전략,월,분야,전문가,명,참여,개월,이상,논의,도출,글로벌,시장,선점,중대,대,핵심,기술,과제,그램,빅,데이터,클라우드,전파,혁신,사이버,공격,대응,등,선정,분야,콘텐츠,분야,인간,친화,완전,입체,영상,홀로그램,실현,콘텐츠,생태,구축,초석,콘텐츠,마련,계획,플랫,폼,기술,개발,사람,이해,언어,행동,상황,모사,대화,시각,지능,기술,지능,확보,것,사물,인터넷,기반,서비스,플랫,폼,플랫,폼,구현,방침,연결,시대,인프라,성능,빅,데이터,클라우드,개선,연구,개발,작업,방침,네트워크,분야,현재,배,모바일,트래픽,시대,구현,전파,혁신,사업,역점,둘,방침,고속,광,대역,인프라,이점,스마트,네트워크,역점,사업,추진,방침,디바이스,분야,사용,이해,디바이스,인터페이스,감성,지능,구현,가상,사물,소통,가능,핵심,기술,지능,융합,모듈,확보,방침,사이버,보안,위협,탐지,대응,사이버,공격,기술,확보,과제,대,사업,대,미래,서비스,구축,속도,방침,미래,먹거리,대,서비스,선택,실감,방송,디지털,소,상공,지원,실감,스마트,워크,서비스,카,서비스,농축,수산물,안심,서비스,사이버,테러,실시간,대응,등,융합,서비스,주,미래,부,관련,부처,협의,대,서비스,확정,국가,사회,파급,효과,분야,단계,추진,방침,미래,부,관계자,대,핵심,기술,상당,부분,기술,근간,파워,강화,초점,것,대,미래,서비스,공급자,수요자,시각,국민,원,것,초점,강조,미래,부,기존,추진,정책,평가,수요자,중심,기획,평가,관리,제도,개선,추진,특성,반영,프로그램,도입,기획,국민,오디션,방식,도입,계획,이,기술,평가,거래,활성,총리,실,정보,통신,전략,위원회,산하,정보,통신,융합,전문,위원회,가칭,설치,추진,미래,부,날,공청회,제시,의견,반영,전략,수정,보완,관계,부처,협의,달,중,확정,발표,예정,강동식,기자
동양그룹,유동,위기,동양,네트,웍스,일,기업,회생,절차,법정,관리,신청,이,동양,네트,웍스,그간,수행,서비스,사업,차질,관심,가운데,회사,측,사업,이상,것,동양,네트,웍스,수행,주요,서비스,사업,시스템,유지,보수,업무,계열사,동양증권,동양,생명,보험,시스템,관리,회사,서비스,사업,매출,차지,밖,제일은행,국민연금,공단,현대,상,등,동양,네트,웍스,시스템,유지,보수,운영,시스템,유지,보수,운영,비용,절감,수행,업체,통상,년,년,장기,계약,체결,때문,동양,네트,웍스,입장,당장,사업,중단,등,최악,상황,발생,것,김영일,동양,네트,웍스,관리,팀장,객인,동양,생명,동양증권,동양그룹,위기,곳,유지,보수,계약,이상,것,그룹,외부,주요,객사,대부분,서비스,제공,계약,내년,말,현재,법정,관리,상태,사업,당장,차질,것,말,동양,네트,웍스,법정,관리,상태,경우,재계약,신규,사업,수주,등,발주,기업,판단,불리,상황,수,예상,정도,상황,이,동양,네트,웍스,측,이번,법정,관리,신청,회사,자체,유동,위기,그룹,지원,차원,자금,출혈,채권,동결,등,시간,확보,신청,면,법정,관리,시간,내,졸업,수,최선,예정,동양,네트,웍스,사업,차질,노력,강조,강은성,기자
에스원,대표,윤진혁,소년원,사회,자활,지원,사회,협동조합,방식,창업,보육,시설,카페,원,오픈,일,에스원,년,소년원,등,교정,시설,청소년,명,장학금,전달,올해,사회,복귀,정착,수,취업,창업,지원,프로그램,지원,일환,개설,카페,원,에스원,수원,사옥,층,자리,이곳,일,바리스타,소년원,퇴소,구성,영리,목적,운영,카페,에스원,소년원,소년,보호,협회,조합원,참여,수익금,추후,일반,밀집,지역,매장,사용,에스원,관계자,사회,소외,소년원,중요,건,사회,소통,기회,일자리,자립,기반,마련,일회,지원,지속,관심,지원,기업,사회,책임,것,말,정용철,기자
커뮤니케이션,대표,이한상,포털,네이트닷컴,파스,즐거움,뜻,독일어,네이트,슬로건,개편,일,이번,개편,컴즈,바스켓,비교,쇼핑,휴로,진행,네이트,쇼핑,자체,서비스,론,개편,네이트,쇼핑,가격,비교,서비스,편의,집,중도,강화,최신,트렌드,추천,쇼핑,지원,컴즈,향후,로그인,기반,상품,추천,연동,기능,추가,등,지원,계획,컴즈,네이트닷컴,콘텐츠,영역,강화,스타,속,패션,소개,스타일,전방,배치,톡,톡,웹툰,영화,동영상,등,볼거리,영역,확장,코너,신설,날씨,운세,정보,주가,지수,등,오늘,필수,정보,제공,김홍,컴즈,본부,장,이번,개편,네이트,이미지,최대,반영,것,행복,쇼핑,볼거리,강화,네이트,차별,것,말,김나리,기자
올해,모바일,결제,서비스,유럽,상용,대표,정철길,금융,결제,서비스,업체,카드,대표,마커스,브라운,유럽,모바일,결제,시장,확대,전략,제휴,체결,일,양사,사업,협력,올해,안,기반,모바일,결제,서비스,상용,금융,기관,통신,사업자,서비스,업체,등,대상,유럽,내,모바일,커머스,솔루션,사업,본격,계획,이번,협력,와이어,카드,제품,서비스,모바일,솔루션,코파,통합,예정,모바일,앱,비자카드,페이,웨이브,보안,서비스,지원,수,와이어,카드,향후,솔루션,기반,자체,출시,비자,마스터,카드,선불,계정,상품,바우처,로열티,프로그램,모바일,결제,부가,서비스,제공,계획,밖,와이어,카드,보유,네트워크,유럽,현지,기업,대상,모바일,결제,솔루션,시장,확대,적극,계획,비자,마스터,카드,등,글로벌,신용,카드,사,보다폰,도이치,텔레콤,등,유럽,대형,통사,핵심,파트너,와이어,카드,협력,유럽,시장,모바일,커머스,관련,서비스,확산,유리,입지,차지,것,기대,독일,뮌헨,본사,와이어,카드,세계,개국,기업,고객,대상,모바일,온라인,결제,서비스,신용,카드,발급,서비스,콜,센터,아웃소싱,등,전자,결제,관련,엔드,투,엔드,서비스,제공,정재현,대표,년,전,솔루션,출시,이후,지금,모바일,커머스,솔루션,세계,시장,보급,유럽,시장,모바일,커머스,솔루션,사업,본격,확대,것,말,심화,영기
국내,빅,데이터,시장,경쟁,과열,양상,빅,데이터,바람,시장,수주,경쟁,치열,가격,파괴,현상,일,안전,행정부,조달청,나라장터,등,안행,부가,지난달,발주,빅,데이터,시범,사업,분야,시각화,분석,솔루션,도입,사업,엔,소프트,테크놀로지,제안,비주얼,애널리,솔루션,선정,회사,정부,제시,도입,산정,금액,억,만,원,절반,가량,만,원,입찰,가격,제출,것,확인,엔,소프트,외,사업,참여,업체,억,만,원,오픈,에스,앤,에스,마이크,로스트,레티,지,제품,억,만,원,대유,정보,시스템,억,만,원,테크,시스템,등,정부,산정,금액,금액,제시,이,기업,중,기술,평가,점수,기업,제안,엔,소프,테크놀로지,점,만점,점,획득,위,업체,점,점,차이,격차,결국,기술,점수,차이,가격,제,출한,소프트,수주,것,점,책정,가격,점수,사업,수,주한,소프트,점,위,업체,점,점,결국,소프트,기술,가격,총점,경쟁사,점,최종,사업자,선정,업계,빅,데이터,분석,분야,위,업체,저,공세,점,논란,현재,빅,데이터,솔루션,가격,거품,것,시장,참여,업체,시장,환경,이전,분석,빅,데이터,기술,변별력,앞,가격,중요,시장,경쟁,요소,부각,것,전망,국내,빅,데이터,업체,관계자,기술력,기업,수주,경쟁,최고가,반,토막,가격,것,예상,공공,시장,수주,수,국내,빅,데이터,시장,레퍼런스,확보,경쟁,치열,것,말,이,관련,측,수주,경쟁,가격,조정,해명,업계,내년,올해,빅,데이터,사업,것,가격,경쟁,양상,심화,것,예상,이,규모,경제,신규,업체,시장,참여,수,기회,수,업체,간,경쟁,출혈,정부,중재자,역할,중요,지적,업체,관계자,기업,올해,정부,시범,사업,손해,수주,것,내년,공공,분야,사업,것,기대,때문,업체,선정,정부,기관,기술,가격,출혈,경쟁,조율,노력,필요,말,김지선,기자
여자,호,아이,남자,호,속내,밤,방송,짝,돌,싱,특집,여자,호,아이,돌,싱,남,남자,호,결혼,감정,스물,살,싱이,여자,호,살,딸,남편,딸,양육,여자,호,아이,남자,호,감정,여자,호,남자,호,내,자식,남,자식,수,말,눈물,주변,돌,싱,특집,지원,화제,싱글,녀,여자,호,아버지,활동,중,가정,형편,때문,중,고등학교,때,신문배달,집안,살림,여자,호,자신,이해,수,남자,그녀,남자,데이트,신청,데이트,신청,남자,녀,여자,호,부담,편,열,명,돌,싱,남녀,중,최종,선택,짝,커플,상견례,상견례,커플,커플,결과,밤,시,분,방송,짝,돌,싱,특집,확인,수,김유정,기자
미래,역전,투비,소프트,철저,시장,조사,인수,합병,등,글로벌,소프트웨어,기업,성장,게,회사,비전,일,서울,강남,위치,사옥,김형곤,투비,소프트,대표,글로벌,시장,선두,회사,키워드,설명,키워드,김,대표,개인,의지,지난해,회사,비전,과정,직원,것,의미,김,대표,직원,생각,글로벌,진출,일반,회사,모습,그,지사,글로벌,기업,해외,지사,거점,확보,판매,시도,말,투비,소프트,현지,시장,조사,바탕,징검다리,하나,둘,해외,진출,지역,성과,일본,법인,설립,건,년,년,명,시작,일본,사무소,콤,웨어,등,일본,굴지,서비스,기업,파트너,직원,수만,명,법인,처음,법인,시장,공략,시행착오,인건비,십상,투비,소프트,년,일본,노무라,계열사,처음,제품,공급,이래,그동안,일본,시장,상황,경험,바탕,시기,일본,시장,진출,단기간,매출,수,것,회사,일본,미국,시장,진출,전,김,대표,후진국,시장,사이즈,수,선진국,미국,년,간,시장,조사,일본,다음,진출,국가,말,투비,소프트,생각,미국,진출,방법,인수,합병,김,대표,미국,선진국,때,한국,후진국,선진국,제품,나라,태생,회사,제품,판매,게,말,그,처음,자금,투입,미국,글로벌,해외,진출,모색,것,투비,소프트,외,가트너,등,애널리스트,연락,국제,표준,기구,주,관사,활동,등,해외,이름,전략,구사,년,파트너십,일,이유,브랜드,목적,때문,김,대표,한국,기업,외국,기업,협력,외국,제품,대신,판매,비난,목소리,이,사실,우리,제품,글로벌,판매망,브랜드,협력,것,설명,그,등,플랫,폼,해당,국가,문화,영향,진입,장벽,장점,브랜드,플랫,폼,제품,해외,성공,것,자신,김지선,기자
대,주주,외국,기업,지분,구조,불똥,보도,전문,채널,외국인,지분,소유,한도,이유,행정,지도,일,관련,업계,방송,통신,위원회,이달,중,방송법,보도,전문,방송,채널,사용,사업자,외국인,지분,소유,규제,위반,이유,시정,명령,것,검토,월,말,기준,한전,케이디,엔,미래,셋,생명,차지,가운데,지분,구조,문제,진원지,현행,방송법,보도,전문,채널,외국인,소유,지분,제한,대,주주,년,민영화,이후,정부,지분,외국인,주주,비율,사실,외국,기업,평가,방통,위,관계자,검토,중,사안,이슈,말,수,말,내부,지분,문제,수,차례,거론,골머리,실정,논란거리,전망,시정,명령,정도,예견,조치,것,관계자,설명,방송,관계자,자체,지분,조정,수,문제,때문,향후,지분,방향,것,예상,전망,김유정,기자
