영국,테이크아웃,커피,컵,환경,부과금,적용,논란,환경,보호,차원,대형,커피,체인,사용,일회용,컵,팬,부과금,적용,요구,제기,정부,이,일,비즈니스,그린,영국,정부,억,유로,커피,체인,일,회,컵,폐기,비용,부담,요청,거부,것,자유민주당,측,일,회,컵,팬,부과금,적용,것,촉구,커피,체인,사업자,낭비,자발,노력,판단,커피,핸드,드립,추출,모습,자유민주당,영국,정부,결정,반발,정부,발표,실제,일,회,컵,커피,체인,노력,주장,영국,정부,고객,자신,잔,일회용,컵,반납,경우,음료,할인,제공,점,부과금,거부,결정,이유,제기,실제,인센티브,제공,곳,스타,벅스,정도,스타,벅스,고객,본인,컵,경우,팬,할인,혜택,제공,이외,카페,정도,재생,가능,컵,사용,고객,쿠폰,도장,개,혜택,제공,뿐,대부분,커피,체인,컵,활용,폐기물,감소,별도,인센티브,캐서린,비더,자유민주당,의원,정부,일,회,커피,컵,폐기물,이슈,완전,배재,한편,이,문제점,인정,비판,자유민주당,비닐봉지,팬,부과금,적용,사례,커피,컵,조치,주장,영국,작년,월,비닐봉지,팬,부과금,적용,시작,이후,비닐봉지,사용량,명,중,명,수준,감소,반면,영국,정부,주장,커피,체인,사업자,자발,노력,신뢰도,편,초,일회용,컵,중,커피,체인,활용,컵,개,중,개,재질,자체,재활,부적합,종이,플라스틱,혼합물,사용,때문,캐서린,의원,팬,비닐봉지,사례,비용,효과,수,확인,일회용,커피,컵,사례,성사,수,말,조정,에너지,전문,기자
페이스북,친구,사진,게시물,사망,주장,제기,외신,미국,노스,이스턴,대,연구,팀,페이스북,활동,사람,사망,위험,도,사람,가량,친구,범위,친구,요청,이용자,장수,것,전염성,병,암,약물,남용,자살,등,사망률,차이,조사,대상,페이스북,이용자,만,명,활동,이력,캘리포니아주,보건,당국,기록,포함,연구,결과,지난달,일,미국국립과학원,회보,게재,연구,팀,페이스북,친구,규모,상위,인,그룹,하위,그룹,것,친구,요청,사람,사망률,경우,발표,반면,용자,상대방,친구,요청,수,사망률,연관,연구,팀,사진,게시,사망,사진,게시물,해당,용자,실생활,사회생활,것,연구,팀,연구,결과,이용,건강,사이,상관,점,페이스북,사람,건강,직접,영향,증거,강조,유창선,성장,기업,성수,인천,기자
국회,산업,통상,자원,위원회,일,전체,회의,년,산업,통상,자원,부,산하,기관,정부,예산안,의결,산업자원부,중소기업청,특허청,등,산자위,소관,예산,모두,억,원,증액,억,원,감액,순증,액,억,원,기록,당초,정부,제출,세출,예산안,규모,조,억,만,원,년,예산안,조,억,만,원,규모,부처,산자부,소관,예산,정부안,대비,억,원,증액,억,만,원,감액,억,만,원,중소기업청,소관,예산,억,원,억,만,원,특허청,예산,증액,분과,감액,산자부,일반,회계,억,만,원,지역,발전,특별회계,억,만,원,산업,기술,진흥,사업,촉진,기금,억,원,무역,보험,기금,억,원,전력,산업기반기금,억,만,원,등,순증,에너지,자원,사업,특별회계,억,만,원,방사성,폐기물,관리,기금,억,만,원,등,순감,자원,외교,특별,융자,예산,억,원,감액,당초,억,원,절반,의견,자원,개발,중,도덕,문제,손실,발생,때,제도,장치,보완,선,억,원,것,의결,사용,후,핵연료,관리,시설,확보,예산,법,근거,상황,사전,예산,책정,것,논란,억,만,원,예산,억,만,원,조정,에너지,전문,기자
그래텍,테크노,블러드,코리아,시장,공략,파트너십,체결,그래텍,테크노,블러드,코리아,이번,파트너십,체결,플랫,폼,버츄얼,게이트,국내,서비스,방,사업,등,한국,내,시장,확대,대중,적극,협력,계획,그래텍,자사,대표,프로그램,곰플레이어,전용,동영상,재생,프로그램,개발,강화,버츄얼,게이트,국내,서비스,지원,버츄얼,게이트,테크노,블러드,코리아,운영,콘텐츠,플랫폼,미국,캘리포니아,기업,포,브,서비스,예정,테크노,블러드,코리아,전략,파트너,사,포,아이,트래킹,시선,추적,기술,탑재,포,브,하반기,출시,예정,트래킹,기술,시선,움직임,조작,수,공간,제한,방,등,편리,사용,수,영상,어지럼증,완화,경험,수,것,특징,그래텍,이병기,테크노,블러드,코리아,협업,한국,내,시장,활성,성장,환경,조성,수,것,환경,도,영상,수,곰플레이어,적극,지원,말,이미지,제공,그래텍
미래,창조,과학부,빅,데이터,이용,활성,산업,경쟁력,제고,일,데이터,진흥,주간,개최,일,행사,빅,데이터,국민,관심,제고,빅,데이터,활용,확산,기획,컨설팅,멘토링,시각화,체험,등,국민,참여,테마,박람회,진행,주요,프로그램,빅,데이터,컨퍼런스,일,스타트업,캠퍼스,빅,데이터,전시회,일,스타트업,캠퍼스,빅,데이터,콘서트,일,스타트업,캠퍼스,창조,혁신,빅,데이터,컨퍼런스,일,강원,창조,경제,혁신,센터,등,행사,마지막,일,서울,삼성동,코엑스,데이터,그랜드,컨퍼런스,데이터,미래,주제,데이터,분야,기술,정보,시장,동향,데이터,품질,관리,우수,사례,등,공유,김용수,미래,부,정보,통신,정책,실장,빅,데이터,지능,정보,사회,기반,핵심,요소,국내,빅,데이터,시장,창출,지능,정보,산업,발전,도약,계기,말,김지선,기자
카카오,자체,개발,신작,퍼즐,게임,프렌즈,팝콘,픽셀,큐브,퍼즐,게임,프렌즈,팝,의혹,제기,가운데,엔터,테,트,측,유감,표명,카카오,측,장르,유사,순,문제,입장,엔터,테,트,자회사,프렌즈,팝,개발,사인,픽셀,큐브,일,프렌즈,팝,년,이상,인기,유지,카카오,프렌즈,지적,재산,가치,데,역할,자부,임명,퍼즐,방식,등,프렌즈,팝,게임,자체,개발,출시,것,사업,파트너,유감,입장,이번,논란,카카오,지난달,일,출시,신작,퍼즐,게임,프렌즈,팝콘,출시,게임,카카오,프렌즈,활용,퍼즐,게임,카카오,게임,자회사,카카오,게임즈,개발,신작,출시,이후,게임,커뮤니티,중심,이용자,사이,프렌즈,팝,후속작,출시,소식,게임,유사,지적,카카오,프렌즈,사용,퍼즐,게임,공통분모,외,게임,명칭,방향,퍼즐,방식,아이템,등,것,픽셀,큐브,지난해,월,카카오,손잡고,카카오,프렌즈,활용,퍼즐,게임,프렌즈,팝,출시,게임,출시,년,지금,구글,앱,장터,상위권,유지,중,장수,게임,반면,카카오,측,문제,게,입장,카카오,관계자,카카오,프렌즈,게임,관리,차원,가이드라인,적용,게임,내,폰트,재화,아바타,시스템,등,일정,부분,동일,부분,수,이,게임,프렌즈,프렌즈,사천성,등,카카오,프렌즈,활용,프렌즈,게임,적용,사안,말,정,채희,기자
게임,업체,씨,소프트,모바일,다중접속,역할,수행,게임,아덴,서비스,게임즈,상대,온라인,게임,리니지,저작,침해,관련,소,제기,일,게임즈,넷마블,게임즈,자회사,아덴,월,애플리케이션,마켓,원,스토어,출시,이후,타이틀,아이템,명칭,등,리니지,논란,제기,가상,세계,왕국,아덴,리니지,배경,엔,씨,소프트,측,월,게임즈,상대,지적,사항,내용,증명,발송,데,지난달,소,제기,엔,씨,소프트,관계자,지적,재산,보호,게임즈,소송,제기,말,게임즈,측,아덴,온라인,모바일,해석,것,리니지,저작,침해,입장,것,정,채희,기자
게임즈,아덴,왼쪽,엔,씨,소프트,리니지,아시아,경제,이민우,기자,씨,소프트,온라인,게임,리니지,지적,재산,보호,넷마블,게임즈,자회사,게임즈,상대,소송,제기,엔,씨,소프트,게임즈,모바일,다중접속,역할,수행,게임,아덴,씨,소프트,리니지,저작,침해,소송,제기,일,아덴,월,애플리케이션,앱,마켓,원스,토어,최초,출시,당시,타이틀,아이템,명칭,등,리니지,구성,요소,논란,바,게임,덴도,리니지,게임,등장,왕국,이름,엔,씨,소프트,아덴,출시,직후,부분,지적,월,게임즈,지적,사항,내용,증명,발송,게임즈,이,인정,달,소송,제기,것,엔,씨,소프트,관계자,게임즈,번,논의,의견,소송,제기,진행,중,소송,때문,내용,말,게임즈,지난달,넷마블,인수,자회사,것,아덴,마케팅,고객,서비스,넷마블,게임,운영,전반,사항,게임즈,담당,넷마블,달,게임즈,인수,아덴,마케팅,고객,서비스,담당,게임,운영,등,주요,사항,게임즈,이번,저작,침해,소송,대상,넷마블,게임즈,유다,게임즈,이번,소송,아덴,온라인,모바일,해석,것,리니지,저작,침해,입장,대응,예정,말,이민우,기자
월,일,모바일,한경,게재,기사,모바일,한경,기사,박근태,학부,기자,연못,논,연잎,물,진흙탕,연잎,표면,돌기,물,물방울,연잎,효과,과학,용어,소수성,특성,이용,음료,옷감,비,먼지,청소,외벽,자재,수,과학자,관련,연구,지금,개발,소수성,물질,방법,제조,공정,독성,물질,단점,국내,대학,학부,학생,한계,극복,방법,최근,화제,포스,텍,기계,공학,학년,유재원,씨,가운데,과,김동성,교수,왼쪽,최동휘,연구,교수,오른쪽,지도,소금,이용,물,흡수,소수성,표면,제작,방법,개발,일,발표,기존,방식,장비,이용,화학,약품,처리,과정,물,물질,표면,연잎,수,마이크로미터,수,나노미터,억,분,크기,돌기,구조,때문,반면,유,씨,개발,방법,주변,수,소금,물,이용,환경,친화,장비,공정도,필요,연구,진,염용,식각법,방법,이용,액상,실리콘,폴,리디,메틸,실록,산,표면,소금,건조,뒤,물,소금,입자,자리,돌기,크기,미세,구조물,김,교수,방법,이용,면적,입체,곡면,기판,위,원,형상,소수성,표면,구현,수,소수성,물질,활용,범위,자기,세정,작용,산화,방지,능력,차량,소재,옷감,건물,외장재,등,다양,분야,수,눈,서리,수,이번,연구,유,씨,참여,학교,학부,연구,참여,프로그램,중,하나,진행,연구,성과,국제,학술,라이드,서피스,사이언스,최신호,유,씨,학부,중,이례,연구,교수,논문,저자,이름,끝,모바일,한경,폰,태블릿,수,프리미엄,뉴스,서비스,모바일,한경,구독,신청,성공,습관,한국,경제,신문,무단,전재,배포,금지
환경부,국립,생물,자원,관,남한,절멸,것,추정,멸종,위기,야생,생물,급,한국,표범,아무르표범,표준,게놈,지도,세계,최초,완성,일,한국,표범,호랑이,우리,나라,최고,포식자,활동,고양이,맹수,북한,접경,지역,러시아,연해주,남서쪽,마리,분포,한국,표범,아무르표범,왼쪽,현재,분포,지역,러시아,표범,땅,국립,공원,국립,생물,자원,관,완성,한국,표범,게놈,지도,멸종,위기,한국,표범,보전,복원,토대,마련,데,의미,식성,물종,간,게놈,빅,데이터,분석,것,세계,최초,한국,표범,게놈,지도,국립,생물,자원,관,울산,과학,기술원,지난해,공동,연구,협약,고양이,게놈,해독,국제,컨소시엄,참여,년,개월,간,연구,끝,해독,연구,진,대전,동물원,년,자연사,표범,매화,근육,이용,표준,게놈,지도,러시아,서식,야생,아무르표범,혈액,확보,추가,유전체,서열,해독,이,비교,분석,한국,표범,게놈,억,만,개,염기쌍,구성,만,개,유전자,포함,것,확인,개체,간,동일,개체,내,염기,서열,변이,유전,다양,멸종,위험,것,부,양친,유전자,염기,서열,변이,부모,세대,유전자,서열,개체,간,유전,변이,추정,한국,표범,게놈,지도,해독,과정,연구,진,육식,고양이,잡식,사람,초식,소과,등,식성,포유동물,종,게놈,정밀,비교,식성,특화,유전자,표범,호랑이,고양이,과,근육,운동,신경,전달,빛,감지,능력,관련,유전자,보존,고양이,동물,반응,시력,등,게놈,반영,확인,반면,사람과,지방,대사,관련,유전자,등,소과,냄새,감지,유전자,등,보존,연구,진,육식,고양이,식성,주목,이,잡식성,초식성,포유,동물,게놈,비교,진화,유전자,확인,확인,결과,고양이,육식성,발달,아밀라아제,탄수화물,소화,유전자,식물,독소,해독,관련,유전자,퇴화,것,단백질,소화,근육,운동,신경,발달,등,관련,유전자,특이,진화,것,당뇨,관련,혈당,조절,유전자,돌연변이,기능,것,확인,연구,진,연구,결과,근력,시력,등,체,능력,육식,발생,추정,인간,질병,등,유전자,수준,이해,데,도움,것,기대,한국,표범,표준,게놈,해독,결과,포유류,게놈,비교,분석,연구,결과,세계,학술지,게놈,바이올로지,월,일자,게재,백운석,국립,생물,자원,관장,세계,최초,한국,표범,전체,게놈,해독,멸종,위기,한국,표범,보전,근원,자료,확보,이번,게놈,지도,한반도,생물,다양,누리집,공개,계획,문정,산업,경제,세종,전문,기자
김현석,기자,삼성전자,인공지능,투자,집중,영화,아이언맨,자비스,미래,정보,기술,기기,좌우,핵심,서비스,삼성,갤럭시,등,차세대,스마트폰,시작,전,등,제품,기반,대화,서비스,연결,구상,구글,애플,아마존,등,개발,세계,곳곳,가정,수십억,대,제품,걸,감안,승산,계산,제품,말,미국,실리콘밸리,삼성,전략,혁신,센터,지난달,일,현지,시간,영국,스타트업,신생,벤처,기업,그래프,코어,만,달러,증자,투자자,참여,독일,보쉬,로버트,보쉬,벤처,캐피털,등,개,펀드,참여,회사,지능,처리,장치,칩,개발,중,칩,클라우드,서버,등,탑재,중앙,처리,장치,그래픽,처리,장치,머신,러닝,지능,처리,구글,파고,탑재,등,대체,게,목표,최고,경영자,나이젤,툰,머신,러닝,연산,체제,필요,접근,법,개발,설명,그,지난해,인텔,조,원,인수,알테라,년,비디아,인수,아이세라,등,지능,칩,연구,손영권,삼성전자,사장,현재,컴퓨터,아키텍처,위인,비디아,도전,수,투자,것,말,삼성,월,미국,플랫,폼,개발,스타트업,비브,랩스,인수,월,왓슨,연구소,출신,김민경,상무,영입,작년,말,이근배,포스,텍,교수,스카우트,연구,인텔,리전,스팀,구성,지난달,일,콘퍼런스,콜,이경태,삼성전자,상무,향후,지능,서비스,개방,생태계,구축,스마트폰,외,전,등,기기,대화,인터페이스,연결,삼성,제품,차별,포인트,것,세계,경쟁,중,구글,애플,아마존,등,글로벌,기업,음성,인식,기반,서비스,앞,영화,아이언맨,주인공,자비스,지시,조언,현실,전문가,전망,구글,지난달,출시,스마트폰,픽셀,시리즈,구글,어시,스턴트,탑재,사용,말,원,정보,구글,기능,자사,사물,인터넷,서비스,구글,홈,적용,알,파고,구글,천문학,투자,년,지난해,관련,기업,데,돈,억,달러,조,원,년,음성,인식,소프트웨어,시리,애플,월,머신,러닝,전문,벤처,투리,억,달러,억,원,등,최근,년,새,분야,스타트업,개,수,아마존,음성,인식,스피커,에코,시장,소프트웨어,알렉사,탑재,날씨,정보,교통,상황,등,아마존,물건,주문,수,세계,만,대,이상,최근,전자,협업,시작,김현석,기자,한경,닷컴,내,모바일,한경,구독,신청,한국,경제,무단,전재,배포,금지
