워싱턴,뉴시스,류난,영,기자,전,세계,경기,둔화,우려,등,지난해,월,미국,소비,지출,달,전,것,반면,저축,년,만,최고,일,미,상무부,지난해,월,미국,개인,소비,지출,전월,당초,증가,것,발표,월,소비,지출,상승,수정,년,미국,연간,개인,소비,지출,증가,년,증가세,둔화,데,반면,미국인,세전,소득,개인,소득,월,전월,대비,증가,지난해,해,동안,기록,년,증가,소득,지출,저축,년,만,최고,경신,월,개인,저축,전월,소폭,상승,기록,저축액,억,달러,년,월,이후,수준,기록,월,가격,지수,전월,하락,반면,전년,대비,상승,이,가격,지수,연방,준비,제도,연준,목표치,개월,연속,에너지,음식,제외,월,근원,가격,지수,전월,전년,대비,상승,월,의류,등,내구재,제품,소비,하락,서비스,등,유틸리티,부문,소비,증가
카불,뉴시스,박준호,기자,일,아프가니스탄,수도,카불,자살,폭탄,테러,범,공격,최소한,명,사망,명,부상,아프간,정부,관리,카불,경찰,대변인,바시르,무,자히드,범인,밖,점심,식사,기도,뒤,경찰청,지역,본부,입장,사람,행렬,합류,설명,테러,출입문,부근,자신,소지,페이로드,탄두,폭발,자히드,대변인,불행,사상자,대다수,민간인,경찰관,중,명,사망,분,정도,범인,탈레반,전쟁,전선,아프간,국가,민정,경찰,대상,테러,테러,발생,지점,카불,서쪽,위치,지역,근처,동물원,위치,아프간,당국,처음,이날,폭발,자살,차량,폭탄,테러,것,개인,소행,정정,탈레반,트위터,이날,테러,자신,소행,주장,탈레반,아프간,년,내전,현지,치안,군,교전
이스라엘,군,팔레스타인,행정,수도,격,라말라,진입로,부분,차단,레츠,등,현지,언론,보도,이스라엘,군,현지,시각,일,라말라,거주자,이스라엘,아랍인,제외,이스라엘,영토,라말라,진입,동시,식료품,운반,인도주의,지원,이스라엘,당국,허가,팔레스타인,관리,등,특수,경우,제외,라말라,외부,지역,이동도,허락,지난해,월,이후,이스라엘,군,라말라,지역,부분,봉쇄,이번,처음,레츠,이번,조치,팔레스타인,법무,장관,경호,경찰,전날,오후,라말라,인근,검문소,총기,사해,이스라엘,군,명,부상,다음,날,당시,팔레스타인,경찰,이스라엘,군인,사살,팔레스타인,라말라,차단,조치,집단,처벌,반발,라말라,팔레스타인,자치령,요르단강,서안,지역,정치,경제,중심지,팔레스타인,수만,명,예루살렘,서안,곳곳,방문
중국,항공기,대,사상,처음,제주도,인근,상공,한국,방공식별구역,침입,것,확인,과정,일본,방공식별구역,근처,일본,정부,대응,일,한국,국방,당국,중국,군,정찰기,조기,경보기,대,전날,제주도,남서쪽,상공,한국,방공식별구역,당국,무선,통신,이용,중국,항공기,한국,방공식별구역,침입,경고,중국,항공기,자신,중국,소속,사실,방공식별구역,한국,국방,당국,관계자,국방,당국,이후,중,국군,항공기,비행,경로,방공식별구역,침입,일본,방위성,중국,항공기,정보,수집,항공기,조기,경계기,인근,쓰시마,남동쪽,독,남동쪽,상공,왕복,비행,일본,자위대,전투기,긴급,발진,중국,군,항공기,대응,일본,정부,중국,항공기,자국,영공,침입,것,파악,교도,통신,중국,군,항공기,경로,비행,사실,확인,것,처음,이지스,정보,수집,등,움직임,분석,정지용,기자
앵커,중국,피해,금액,우리,돈,조,원,사상,최대,규모,다단계,금융,사기,사건,적발,피해자,중국,전역,만,명,육박,것,베이징,서봉국,특파원,보도,기자,굴착기,지하,미터,이상,수십,개,비닐,봉투,발견,단계,금융,사기,범,증거,멸,거래,내역,등,자료,권,겁니다,중국,당국,온라인,금융,업체,실소유주,위청,그룹,딩닝,의장,관련자,명,최근,체포,업체,년,여름,연간,최대,수익,돈,투자자,모집,피해자,은행,이자,돈,본전,보장,업체,설명,투자,사업,대부분,거짓,신규,투자자,돈,기업,대출,투자,대신,투자,이,수익금,지급,경영진,사치,빚,데,사용,사,기업체,이사회,의장,허위,광고,뒤,투자,프로젝트,가짜,회사,입금,돈,사,기업체,이사,경기,둔화,제조업,투자,기업,어디,완전,사기극,불법,자금,조,원,피해자,만,명,희대,다단계,피라미드,사기극,금리,제조업,경기,둔화,투자처,자금,피해,규모,눈덩이,당국,단계,금융,사기,피해자,것,수사,확대,베이징,서봉국
탁구,핑퐁,라켓,공,소리,말,탁구,전위,음악,결합,핑퐁,협주곡,모습,카드,단말기,디지털,걸인,등장,정호,기자,리포트,관현악,협주곡,예정,무대,위,탁구대,대,연주자,악기,대신,탁구,라켓,탁구대,박자,구채,탬버린,탁구공,공,북,화음,중국,베이징,페스,티,발,미국,음악가,앤디,아키호,핑퐁,협주곡,혼란,상황,마무리,관객,호기심,집중,가운데,연주자,탁구공,벼락,퍼포먼스,끝,신용,카드,걸인,당황,행인,모습,몰래카메라,소재,실제,신용,카드,노숙,등장,미국,디트로이트,년,간,노숙,생활,한,이브,스턴,씨,그,스마트폰,카드,리더,기,활용,디지털,선,이,돈,하루,달러,수수료,이브,스턴,디트로이트,노숙자,구걸,일,제,일,노숙,거,그,구걸,전용,앱,계획,채널,뉴스,정호,재
백악관,다음,주인,경주,시작,인구,백,만,명,주,아이오와,공화,민주,당,당원,대회,동시,주요,후보,기선,제압,치열,유세,박정훈,특파원,현지,취재,리포트,미국,대통령,후보,경선,영화배우,존웨인,고향,중부,아이오,주,시작,후보,투표,전날,주도,디모인,지지,호소,이곳,힐러리,클린턴,마지막,유세,예정,아이,고등학교,앞,시간,힐러리,유세,사람,미터,이상,줄,이날,유세,경비,강화,힐러리,유세장,공항,검,색대,정도,검문검색,힐러리,남편,클린턴,대통령,딸,첼시,마지막,유세,유세장,수천,명,지지자,캠프,자원,봉사자,열기,힐러리,경쟁자,버니,샌더스,사무실,지지자,성황,캐서린,노벨,버니,샌더스,자원,봉사자,세대,샌더스,열광,때문,샌더스,거,힐러리,캠프,아홉,살,여자,아이,자원,봉사자,에밀리,힐러리,캠프,자원,봉사자,힐러리,여성,그녀,여성,대통령,기회,사람,힐러리,투표,전화,공화,캠프,지지자,투표장,일,여념,테드,크루즈,캠프,자원,봉사자,조직,이곳,명,선거,운동원,전화,홍보,반면,선두,주자,도널드,트럼프,사무실,한국,기자,내부,공개,막판,판세,혼전,발표,아이오,주,마지막,여론,조사,트럼프,크루즈,격차,힐러리,샌더스,동안,트럼프,지지율,실제,득표,연결,지,관심,힐러리,게이트,고전,지지자,충성심,데,기대,초반,판세,아이오,주,투표,결과,한국,시간,내일,오후,공개,아이오,주,디모인,채널,뉴스,박정훈
제네바,뉴시스,일,시리아,정부,반군,간,간접,대화,지연,가운데,스위스,수도,유엔,유럽,본부,앞,취재진
베를린,연합뉴스,고형규,특파원,독일,내,인구,규모,위,주,정부,총리,야당,녹색당,주요,정치인,앙겔라,메르켈,총리,공개,응원,메시지,전달,자신,당수,기독,민주당,일부,자매,보수당,기독,사회당,난,난민,정책,서다,빈프리트,크레취만,바덴뷔르템베르크주,총리,일,현지,시간,일간지,슈피겔,인터뷰,메르켈,총리,난민,정책,접근,법,지지,의사,표시,남서부,바덴뷔르템베르크,인구,천만,노르트라인베스트팔렌,바이에른,위,구주,월,일,주,의회,선거,주요,정당,정책,경쟁,지역,이곳,기민,당,당인,사회,민주당,연정,집권,중,녹색당,크레취만,주,총리,난민,위기,유럽,차원,단계,단계,해법,메르켈,노선,평가,가톨릭,신자,크레취만,주,총리,메르켈,총리,실패,유럽연합,파트너,국가,유럽,통합,자답,뒤,나,날,메르켈,총리,건강,유지,그,이번,발언,크레취만,메르켈,기도,대중,지,빌트,식,제목,채,난민,위기,지지율,속락,중,메르켈,언급,독일,언론,조명,쥐,트,도이체,차이퉁,내달,바덴뷔르템베르크,주,의회,선거,전략,연계,크레취만,주,총리,기민,분열,심화,분석,이번,언급,메르켈,정책,지지,기민,유권자,것,풀이,내달,선거,녹색당,주,총리,후보,크레취만,메르켈,난민,정책,확연,거리,기도,볼프,기민,주,총리,후보,차기,주,총리,선호도,압도,지지,녹색당,독일,전체,개,주,가운데,바덴뷔르템베르크,곳,주,정부,참여,집권,다수당,총리,곳,바덴뷔르템베르크,유일,메르켈,총리,년,총선,승리,집권,기,연정,구성,협상,녹색당,소수당,파트너,한때,고려,난민,수용,에너지,정책,무기,수출,등,정책,견,집권,기,사민,당과,대연정,결정,바
베이징,신화,뉴시스,시진핑,중국,주석,일,국방부,인민해방군,대,전구,개편,중,하나,북부,전구,쑹,푸,사령관,추이,민,정치,위원,군기,수여,베이징,뉴시스,김재영,기자,중국,시진핑,주석,일,만,인민,해방군,대,전구,체제,공식,개편,이날,시,주석,국방부,공산당,총서기,겸,중앙,군사,위원회,주석,군,통수,전구,사령관,정치,위원,군기,수여,이,중국,인민해방군,기존,대,군구,남,북,중부,지역,관장,개,전구,개편,시,주석,훈시,전구,때,수,태세,강조,중국,인민해방군,대,전구,개편,로켓,군,육군,통합,지휘,기구,전략,지원,부대,등,창설,발표,참모부,등,대,총부,체제,개,직능,부문,전환
투스크,정상,회의,상임,의장,왼쪽,캐머런,영국,총리,연합뉴스,브뤼셀,연합뉴스,송병,승,특파원,브렉,시트,영국,탈퇴,저지,유럽연합,영국,간,협상,긴박,전개,가운데,집행,위원회,영국,측,핵심,요구,사항,이주민,복지,제한,진전,안,집,행위,대변인,일,영국,측,긴급,복지,중단,허용,제안,마련,이,시행,가능,마가,리티,나스,대변인,집,행위,제안,영국,정부,이주민,복지,혜택,제한,수,권한,부여,그,제안,회원국,동의,것,말,시,나스,대변인,진행,중,영국,간,협상,정치,기술,진전,구체,합의,도달,데이비드,캐머런,영국,총리,지난달,일,브뤼셀,장,클로드,융커,집행,위원장,회담,데,일,런던,도날드,투스크,정상,회의,상임,의장,막판,타결,협상,이날,회담,일부,진전,것,최종,합의,도달,일,협상,계속,지난해,월,정상,회의,데이비드,캐머런,영국,총리,브렉,시트,포기,수,조건,제시,데,측,입장,조율,끝,영국,측,결책,제시,움직임,영국,요구,내,영국,자율,확대,요약,영국,이주민,복지,혜택,제한,제정,법률,거부,법무,내무,관련,사안,트,아웃,선택,적용,존중,유로존,유로,사용,개국,국가,유로존,시장,접근,보장,등,요구,중,영국,주한,시민,근로,기반,복지,혜택,주택,지원,신청,자격,년,기여,이주민,복지,혜택,제한,핵심,사안,집,행위,영국,측,개혁,협상,용의,상품,서비스,자본,인력,자유,이동,보장,대,이,동,자유,원칙,개정,가능,입장,고수,내,브렉,시트,공감대,형성,측,진전,제안,것,영국,일,정상,회의,브렉,시트,저지,협상,타결,것,목표,논의,진행,융커,위원장,달,일,기자,회견,월,정상회의,합의,것,확신,합의,타협,항구,해결책,말,영국,간,합의,도달,폴란드,등,동유럽,국가,동의,것,예상,폴란드,정부,이주민,복지,혜택,제한,실행,영국,내,수십만,명,폴란드,이주민,차별,대우,것,강력,반발
