워싱턴,뉴시스,이재준,기자,미국,노동부,일,월,일,기준,주간,신규,실업,수당,청구,건수,절조,정치,전주,대비,만,건,만,건,기록,발표,이,시장,예상,만,건,만,건,상회,주,연속,만,명,하회,년,이래,최장,기간,만,명,노동부,변동,주간,평균,실업,수당,청구,건수,전주,건,만,건,실험,보험,수령자,작년,동기,이상,만,명,실업,경제학자,완전,고용,생각,수준,근접,월,미국,근로자,년,연,환산,대폭,임금,상승,기록,현지,고용,시장,견조,확인,상황,일,미국,노동부,발표,월,고용,통계,농업,고용,전월,대비,만,명,증가,것,경제,전문가,예상
모스크바,연합뉴스,유철종,특파원,월,타계,이슬람,카리모프,우즈베키스탄,대통령,딸,굴,나라,피살,위험,그녀,아들,일,현지,시간,주장,할아버지,이름,굴,나라,아들,이슬람,카리모프,이날,보도,방송,우즈,벡,지국,인터뷰,독극물,중독,등,방법,엄마,제거,누군가,사람,죄,것,경고,어머니,독살,세력,누구,구체,언급,해외,카리모프,엄마,굴,나라,국가,보안,위원회,통제,아래,택,연금,상태,아무,접촉,수,타슈켄트,여동생,달,번,정도,엄마,접견,수,그,나라,자신,여동생,할아버지,카리모프,대통령,장례식,참석,이유,장례식,우리,모두,제거,것,협박,카리모프,지난달,말,방송,인터뷰,굴나라,사망설,관련,질문,어머니,가택,연금,상태,중앙아시아,뉴스,전문,사이트,첸,트,르,지난달,일,우즈,벡,국가,보안국,관계자,인용,세,굴,나라,독살,일부,언론,매체,보도,러시아,리아,노보스티,통신,카리모프,가족,측근,인용,나라,보도,등,혼선,굴나라,별세,카리모프,대통령,딸,가운데,첫째,미국,유학,스페인,유엔,대사,활동,한때,카리모프,유력,후계자,거론,그녀,년,국내외,부패,혐의,수사,아버지,불화,최근,년,동안,행적,굴나라,타슈켄트,가택,연금,상태,것,그녀,정확,소재지,공개,년,이상,철권통치,카리모프,대통령,월,말,뇌출혈,일,만,월,일,이튿날,고향,사마르칸트,묘지,안장,굴나라,카리모바,위키,피이,자료,사진
월,유럽,실업,년,만,최저치,기록,것,유럽연합,공식,통계,기구,유로,스타트,일,개,회원국,월,실업,기록,년,월,이후,최저치,유로,사용,개,회원국,유로존,월,실업,년,월,이후,수준,기록,유로,스타트,지난달,개,회원국,실업자,수,천,만,명,개,유로존,국가,실업자,수,천,만,명,추정,월,실업,월,포인트,것,작년,월,포인트,것,추세,침체,유럽,경제,회복,뒷받침,것,해석,유로존,월,실업,월,포인트,작년,월,포인트,하락,청년,실업,것,회원국,청년,실업,전체,실업,배,유로존,청년,실업,전체,실업,경제난,그리스,청년,실업,월,기준,스페인,경우,변진석,기자
한때,세계,휴대,전화,시장,최강,노키아,내년,상반기,스마트폰,시장,복귀,노키아,자사,브랜드,글로벌,라이선스,글로벌,내년,초,노키아,스마트폰,생산,시장,판매,개시,설명,노키아,성명,향후,년,간,일본,제외,세계,독점,브랜드,라이선스,아래,영업,시작,것,노키아,년,휴대,전화,제조,분야,마이크,소프트,매각,년,분기,휴대,전화,시장,복귀,약속,내년,제한,효력,노키아,브랜드,스마트폰,생산,수,노키아,주주,자사,브랜드,판매,휴대,전화,태블릿,판매,대수,로열티,변진석,기자
때,세계,휴대,전화,시장,호령,추억,브랜드,노키아,내년,상반기,스마트폰,시장,복귀,핀란드,업체,노키아,일,현지,시간,성명,자사,브랜드,글로벌,라이선스,글로벌,내년,초,노키아,스마트폰,생산,시장,판매,개시,향후,년,간,일본,제외,세계,독점,브랜드,라이선스,아래,영업,시작,계획,노키아,년,휴대,전화,제조,분야,마이크,소프트,매각,년,분기,휴대,전화,시장,복귀,약속,내년,제한,효력,노키아,브랜드,스마트폰,생산,수,기자
서울,뉴시스,이재준,기자,러시아,일,석유,수출국,기구,감산,합의,월,유량,수준,일,일,만,배럴,생산,계획,타스,통신,등,알렉산드르,노박,러시아,에너지부,장관,이날,모스크바,기자,감산,정도,자국,석유,기업,동일,적용,비율,생산량,것,노박,에너지부,장관,구체,설명,전날,노박,장관,러시아,내년,상반기,단계,최대,일,일,만,배럴,산,유량,감축,용의,말,바,러시아,석유,사,산,유량,순위,로스,프티,선두,루,코일,수르,구네,프티,가스,가스프롬,프티,순,노박,장관,대로,러시아,산,유량,만,배럴,감산,이,석유,비율,생산량,일,오스트리아,빈,총회,회원국,일,일,최대,생산량,만,배럴,만,배럴,합의,러시아,이,동참,향,표명
브뤼셀,연합뉴스,김병수,특파원,월,유럽,실업,년,만,최저치,기록,것,유럽연합,공식,통계,기구,유로,스타트,일,개,회원국,월,실업,기록,년,월,이후,최저치,기록,유로,사용,개,회원국,유로존,월,실업,년,월,이후,수준,추세,침체,유럽,경제,회복,뒷받침,것,해석,유로,스타트,지난달,개,회원국,실업자,수,천,만,명,개,유로존,국가,실업자,수,천,만,명,추정,월,실업,월,포인트,것,작년,월,포인트,것,유로존,월,실업,월,포인트,작년,월,포인트,하락,전체,실업,하락,추세,개별,회원국,실업,격차,체코,실업,독일,뒤,인,기록,반면,그리스,월,기준,스페인,기록,청년,실업,회원국,청년,실업,전체,실업,배,유로존,청년,실업,전체,실업,경제난,그리스,청년,실업,월,기준,스페인,경우
앵커,브라질,축구팀,전세기,추락,사고,명,사망자,발생,가운데,추락,전,선수,모습,공개,항공,당국,블랙박스,분석,결과,전기,결함,연료,부족,가능,제기,우철,희,기자,보도,기자,비행기,안,동료,선수,말장난,모습,선수,기내,마지막,사진,공개,브라질,번,슬픔,시민,애,물결,대통령,국가,애,기간,선포,헬리,파레,시,시민,저,시절,이곳,축구팀,응원,샤페,코,엔시,소속,선수,경기,가운데,항공,당국,사고,원인,전기,결함,연료,부족,가능,제기,사고기,블랙박스,회수,조사,결과,조종사,추락,직전,전기,결함,연료,부족,언급,것,콜롬비아,소식통,추락,충격,폭발,사실,연료,부족,가능,힘,말,당국,수습,사체,브라질,송환,전,사망자,신원,확인,폭발,신원,확인,작업,진행,전망,브라질,프로,축구팀,선수,취재진,등,출발,전세,비행기,콜롬비아,북서부,메데인,중,산,중턱,추락,사고,비행기,명,가운데,명,생존,우철,희
월,유럽,실업,년,만,최저치,기록,것,유럽연합,공식,통계,기구,유로,스타트,개,회원국,월,실업,기록,년,월,이후,최저치,기록,유로,사용,개,회원국,유로존,월,실업,년,월,이후,수준,추세,침체,유럽,경제,회복,뒷받침,것,해석,정호선,기자
시리아,정부군,알레포,반군,점령,지역,장악,피란민,규모,스타,데,미스,투라,유엔,시리아,특사,최근,며칠,정부군,공격,알레포,동부,만,명,행렬,말,시리아,내전,이후,알레포,난민,만,명,시리아,인도주의,담당,얀,엘란,정부군,관할,알레포,서부,만,명,식량,비축,대피소,만,명,가량,피난민,부족,양,말,그,의약품,외과,수술,지하실,마취,상황,정호선,기자
러시아,미국,행정부,대등,입장,협력,준비,푸틴,러시아,대통령,푸틴,대통령,크렘린,궁,연례,의회,국정,연설,대등,상호,이익,원칙,바탕,양자,관계,정상,발전,것,중요,내년,월,출범,트럼프,미국,대통령,정권,협력,기대,표시,그,세계,지역,문제,해결,양국,협력,국제,사회,이익,부합,나라,국제,안보,안정,보장,대량살상무기,확산,방지,체제,강화,공통,책임,주장,국제,테러리즘,대결,미국,협력,러시아,외국,파트너,우리,적,우리,친구,필요,러시아,이익,침해,무시,용납,것,경고,정호선,기자
