빅,등,여권,국면,전환,부정,시각,주류,손학규,적극,반대,논의,필요,입장,여권,추진,개헌,논의,야권,속내,개헌,필요,자체,부정,것,권력,구조,개헌,논의,양날,칼,수,우려,당장,대강,사업,반대,등,과제,산적,개헌,감자,게,민주당,전반,기류,개헌,논의,차기,당권,다툼,유불리,문제,당,입장,분화,것,관측,주요,당권,주자,여권,개헌,논의,국면,전환,부정,입장,피력,중,손학규,상임,고문,반대,행보,적극,그,지난달,일,부산,지역,기자,간담회,개헌,차기,대권,주자,입장,여론,수렴,뒤,차기,정부,장기,안목,논의,말,손,고문,이,일,정권,연장,술책,여권,개헌,시도,야권,야합,행위,민주,세력,적,것,강조,그,이,반대,목소리,데,당권,주자,차별,의도,것,해석,년,중임,선호,입장,정세균,대표,정동영,상임,고문,시점,개헌,논의,부정,대표,최근,간담회,한나라당,내부,통일,의견,개헌,논의,수,말,친,박계,한나라당,사정,감안,연내,개헌,가능,회의,시각,셈,정,고문,개헌,국민,관심사,선,정,고문,측,지역,구도,탈피,목적,선거구,개편,말,당내,정략,개헌,논의,것,조건,충족,개헌,논의,수,그룹,존재,정략,개헌,국가,백,년,대계,생각,개헌,문제,논의,필요,일,박지원,비상,대책위,대표,여기,해당,이낙연,우윤근,의원,등,호남,의원,상당수,분권,개헌,선호,개헌,논의,적극,야당,입장,개진,게,것,이,논리,김영화,기자
일,정족수,부족,일,의총,취소,김무성,일,한나라당,일,성희롱,발언,물의,강용석,의원,명안,처리,일,한나라당,달,일,의원,연찬회,강,의원,명안,의결,의결,정족수,일,연기,일,의원,총회,소집,자체,취소,안형환,대변인,강,의원,입장,정리,기회,의총,연기,것,해명,강,의원,김형오,국회,의장,이날,내,마지막,강,의원,자진,탈당,설득,하루,시간,요청,당,지도부,이,수용,당,지도부,주,이후,강,의원,자진,탈당,요구,강,의원,성희롱,발언,재판,계류,중,것,김무성,원내대표,이날,기자,간담회,이상,국민,것,때문,내일,오후,시,분,의총,제,명안,처리,번,약속,최문선,기자
활동,종료,이틀,간,건,무더기,의결,졸속,지적,진실,화해,과거,사정리,위원회,진실,위,월,일,활동,종료,이틀,동안,진실,규명,처리,대상,사건,건,무더기,심의,것,이,진실,위,년,월,발족,년,개월,동안,활동,처리,전체,진실,규명,처리,대상,사건,건,해당,국회,업무,보고,월,평균,처리,건수,건,배,수,활동,마감,시간,졸속,처리,것,지적,국회,행정,안전,위원회,소속,한나라당,박대해,의원,일,진실,위,제출,공개,자료,진실,위,활동,종료,일,월,일,전날,일,전원,위원회,소집,시간,동안,회의,건,처리,것,덕,진실,위,사건,처리,실적,이번,처리,사건,인권,침해,관련,사건,여건,포함,논란,전망,인권,침해,사건,진실,위,결정,사건,당사자,유가족,국가,상대,소송,제기,여부,판단,중요,근거,때문,이틀,간,처리,인권,침해,관련,사건,원안,가결,이틀,제외,전체,기간,동안,진실,위,처리,인권,침해,관련,사건,평균,가결,박,의원,진실,위,사건,처리,기간,부족,활동,기간,개월,연장,막판,무리,사건,처리,것,책임,처사,이번,국정,감사,부실,사건,처리,의혹,말,한편,월,일,조사,활동,종료,진실,위,내년,월,활동,사항,정리,백서,예정,이동현,기자
금융,자산,대부분,중국,예치,심리,압박,효과,것,분석,스튜어트,레비,미국,재무부,테러,금융,담당,차관,지난달,일,현지,시간,대북,추가,제재,안,발표,기자,회견,수,주일,수개월,안,추가,조치,것,말,북한,지도부,국제,의무,사항,책임,수,고립,압박,굴레,수,메세지,오바마,정부,이날,행정명령,제재,내용,강도,면,북한,정권,제재,대상,지정,북한,해외,자금줄,원천,봉쇄,이,기관,미국,내,거래,전면,금지,문제,제재,실효,담보,수,데,북한,제재,효과,제재,경우,미,국무부,년,월,월,급물살,북한,비핵화,작업,탄력,북한,적성,국교,역법,적용,대상,테러,지원국,명단,해제,북한,핵,검증,거부,북,핵,자회,현재,교착,상태,정부,당국자,북한,제재,탓,가지,제재,해제,혜택,말,북한,동안,국제,사회,제재,압박,상투,비난,무시,전략,이유,손해,게,계산,때문,것,이번,조치,상징,의미,가능,년,마카오,방,델타,아시아,계좌,동결,사태,계기,미국,북한,금융,자산,상태,북한,당시,금융,제재,위력,경험,터,이후,대부분,해외,계좌,중국,내,규모,은행,분산,예치,것,맥락,미국,추가,제재,언급,블랙리스트,포함,북한,기업,이름,불법,활동,계속,제재,명단,북한,대외,창구,감시,경고,미,로버트,아인혼,미,국무부,북한,제재,조정관,이달,중,중국,방문,대북,제재,안,협조,요청,것,중국,동참,여부,북한,지도부,심리,압박,의도,분석,김이삭,기자
국회,개헌,논의,주도,미래한국,헌법,연구회,대,국회,개헌,논의,주도,미래한국,헌법,연구회,년,월,국회,원,구성,직후,한나라당,이주영,민주당,이낙연,자유,선진,이상민,의원,중심,명,창립,멤버,발족,모임,연원,년,초,노무현,대통령,원,포인트,개헌,제안,당시,노,대통령,대통령,년,중임,골간,제시,원,포인트,개헌,폐기,대신,우리,한나라당,자유,선진,등,개,정당,원내대표,대,국회,개헌,논의,합의,것,모임,발족,계기,연구회,발족,년,개헌,발의,필요,정족수,명,여야,명,의원,참여,모임,급성장,그동안,연구회,년,발족,이후,차례,월요,개헌,세미나,개최,대전,광주,부산,등,차례,지역,순회,토론회,역대,국회,의장,초청,좌담회,지난해,정부,형태,개편,방안,주제,미국,독일,프랑스,학자,참여,국제,심포지엄,연구회,일,그간,연구,내용,책자,발간,국회,개헌,특위,구성,경우,대비,단기간,압축,논의,가능,책,국민,개헌,이야기,쪽,분량,이동현,기자
주류,연내,추진,박,김문수,때,개헌,방향,분권,대통령,거론,한나라당,주류,선호,개헌,방향,대통령,막강,권한,분산,것,권력,분산,명분,정치,선진,승자,독식,논리,지배,현재,대통령,정치,대립,수,때문,고리,것,한나라당,안상수,대표,월,대표,취임,이후,제왕,대통령,한계,권력,분산,필요,말,이재오,특임,장관,일,국회,인사,청문회,답변,권력,분산,게,평소,생각,권력,쪽,예산,인사,집중,자연,갈등,때문,말,이계,대통령,외교,안보,담당,국무총리,내치,형태,분권,대통령,대안,거론,의원,김무성,원내대표,그,대통령,년,단임,실패,제도,국민,공감대,형성,권력,구조,개편,찬성,이원집정부제,내각,도입,방,안,부정,그,대통령,년,중,도입,등,권력,제어,방안,선호,개헌,것,올해,안,추진,것,여권,주류,내부,이견,내년,상반기,선거,등,정치,현안,지금,것,반면,김문수,경기도지사,개헌,제동,김,지사,최근,언론,인터뷰,개헌,국론,분열,개헌,의문,말,한나라당,친,박계,개헌,원칙,찬성,때,입장,권력,분산,방안,박근혜,대표,고립,것,의심,박,대표,지난해,월,미국,스탠퍼드,강연,년,중,제,나라,도움,입장,만일,박계,야당,반대,경우,개헌,성사,국회,헌법,개정안,통과,요건,국회,재,의원,명,중,분,명,이상,찬성,한나라당,전체,명,중,박계,명,명,가량,때문,최문선,기자
최종,시한,일,표결,강행,소극,수용,민주당,강성종,의원,운명,걸까,한나라당,강,의원,체포,동의,회의,표결,추진,상황,급박,년,민주당,박은태,의원,이후,국회,체포,동의,안,가결,적,이번,통과,여부,미지수,분석,일,정기,국회,본회의,법무부,지난달,일,제출,강성종,의원,체포,동의,안,국회법,조,항,체포,동의,요구서,본회의,때,시간,이후,시간,내,표결,강,의원,건,경우,일,본회,표결,절차,진행,폐기,표결,가능,한나라당,김무성,원내대표,일,본회의,체포,동의,안,처리,본회,개최,요구서,제출,회의,한나라당,의원,석,가결,가능,이,민주당,박지원,원내대표,흉악범,증거인,멸,나,구속,기소,원칙,반발,박,원내대표,행동,강,의원,이사장,사학재단,교비,등,억,원,횡령,혐의,표결,자체,반대,명분,게,민주당,대체,기류,민주당,일,의원,총회,당론,예정,당,관계자,몸,안건,상정,표결,경우,의원,동료,의식,변수,전망,무기명,투표,만큼,반대표,수,때문,년,이후,체포,동의,안,차례,제출,부결,자동,폐기,년,월,불법,선거,혐의,체포,동의,안,제출,한나라당,박창달,의원,건,표결,당시,여당,우리,당,반란,표,부결,정상원,기자
이명박,대통령,일,우리,철도,북한,중국,러시아,시대,것,그날,앞,일,것,말,대통령,이날,경기,왕시,철도,기술,연구원,고속철,도망,구축,전략,회의,참석,도로는,한계,생각,철도,전국,시간,반,거리,시대,말,청와대,관계자,대통령,일,러시아,방문,때,철도,연결,의사,러시아,측,언급,것,말,대통령,항공,의존,미국,철도,투자,정도,세계,나라,고속철,기술,경쟁,시대,우리,나라,철도,기술,메카,강조,이영섭,기자
국회,외통,위원장,남경필,정보,위원장,권영세,여야,일,올해,정기,국회,국정,감사,다음,달,일,일,실시,합의,여야,이달,일,예산,결산,특별,위원회,년,결산,심사,완료,일,본회의,국감,대상,기관,승인,교섭단체,대표,연설,다음,달,일,정부,질문,월,일,정치,외교,통일,안보,경제,교육,사회,문화,순,일,간,실시,여야,예산안,처리,법정시,한인,월,일,새해,예산,금운,계획안,등,처리,합의,여야,이,이날,국회,본회의,이인복,대법관,후보,임명,동의,안,가결,처리,이날,본회의,공석,국회,외교,통상,통일,위원장,한나라당,남경필,경기,수원,팔달,선,의원,정보,위원장,한나라당,권영세,서울,영등포,선,의원,선출,고성호,기자
통일,세미나,통일,한국,성장률,등,비전,설명,이명박,대통령,경축사,언급,통일세,국책,연구원,주관,학술회의,일,참석자,당장,징수,필요시,증세,국민,전부,일률,부담,건,부적,절하,통일세,회의,반응,통일,한국,경제,성장,달,예상,제시,등,통일,비용,통일,편익,데,동의,이날,통일연구원,주관,서울,프라자,호텔,분단,관리,통일,대비,세미나,권구훈,골드만,삭스,상무,세금,통일,비용,조달,것,복지,보조,분야,한정,통일,후,대북,투자,우방국,국제,금융,기관,차입,조달,게,말,권,상무,언제,통일,과정,시작,수,만큼,재원,연금,것,조세,확보,수,잠재,능력,필요,때,것,말,신창민,중앙,명예,교수,통일,관련,소요,자금,조달,국채,세금,필요,때,투입,통일,전,남북경협기금,등,형태,국내,총생산,대비,조세,통일,국채,조달,게,것,말,배종렬,한국,수출입,은행,선임,연구,위원,코스트,비용,택스,세금,심리,거부,단어,만큼,통일,후,취업률,상승,등,청년층,이익,관련,부분,설명,조언,반면,통일,시,시너지,효과,인식,권,상무,통일,후,통일,비용,년,간,억,달러,소요,것,추정,통일,후,년,간,누적,편익,조,달러,이상,것,예상,교수,통일,후,남북,간,소득,조정,기간,년,분석,때,년,통일,향후,년,간,조,억,달러,대비,비용,것,전망,뒤,국가,경제,통일,후,대비,성장,것,예상,말,한편,김성환,청와대,외교,안보,수석,축사,통일세,논의,북한,특정,상황,염두,것,흡수,통일,급변,사태,맥락,것,정부,지속,공론,과정,비용,조달,방안,모색,것,말,장재용,기자
이명박,대통령,일,러시아,방문,드미트리,메드베데프,러시아,대통령,정상,회담,청와대,일,발표,대통령,일,메드베데프,대통령,만나,월,서울,주요,개국,정상,회의,성공,개최,러시아,경제,현대,추진,에너지,자원,극동,시베리아,개발,등,양국,관심사,논의,한반도,동북아,정세,등,의견,교환,예정,대통령,정상,회담,후,차,로슬라블,세계,정책,포럼,참석,기조연설,한국,민주주의,경제,발전,경험,소개,러시아,국정,과제,추진,중,경제,현대,우리나라,협력,지,표명,야로슬라블,포럼,메드베데프,대통령,지난해,창설,정책,포럼,러시아,포럼,정치,분야,다보스,포럼,키,우려,모스크바,북동쪽,도시,야로슬라블,문화,관광,중심지,이자,고대,러시아,기틀,역사,도시,이번,포럼,실비오,베를루스코니,이탈리아,총리,하토야마,유키오,일본,총리,등,참석,이영섭,기자
